Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
18,30/01/18,Swansea,Arsenal,3,1,H,1,1,D,L Mason
18,30/01/18,West Ham,Crystal Palace,1,1,D,1,1,D,N Swarbrick
18,31/01/18,Chelsea,Bournemouth,0,3,A,0,0,D,L Probert
18,31/01/18,Everton,Leicester,2,1,H,2,0,H,C Kavanagh
18,31/01/18,Man City,West Brom,3,0,H,1,0,H,R Madley
18,31/01/18,Newcastle,Burnley,1,1,D,0,0,D,S Hooper
18,31/01/18,Southampton,Brighton,1,1,D,0,1,A,M Dean
18,31/01/18,Stoke,Watford,0,0,D,0,0,D,J Moss
18,31/01/18,Tottenham,Man United,2,0,H,2,0,H,A Marriner
18,3/2/2018,Arsenal,Everton,5,1,H,4,0,H,N Swarbrick
18,3/2/2018,Bournemouth,Stoke,2,1,H,0,1,A,P Tierney
18,3/2/2018,Brighton,West Ham,3,1,H,1,1,D,R East
18,3/2/2018,Burnley,Man City,1,1,D,0,1,A,M Atkinson
18,3/2/2018,Leicester,Swansea,1,1,D,1,0,H,A Taylor
18,3/2/2018,Man United,Huddersfield,2,0,H,0,0,D,S Attwell
18,3/2/2018,West Brom,Southampton,2,3,A,1,2,A,M Oliver
18,4/2/2018,Crystal Palace,Newcastle,1,1,D,0,1,A,A Marriner
18,4/2/2018,Liverpool,Tottenham,2,2,D,1,0,H,J Moss
18,5/2/2018,Watford,Chelsea,4,1,H,1,0,H,M Dean
18,10/2/2018,Everton,Crystal Palace,3,1,H,0,0,D,J Moss
18,10/2/2018,Man City,Leicester,5,1,H,1,1,D,M Jones
18,10/2/2018,Stoke,Brighton,1,1,D,0,1,A,R Madley
18,10/2/2018,Swansea,Burnley,1,0,H,0,0,D,A Marriner
18,10/2/2018,Tottenham,Arsenal,1,0,H,0,0,D,A Taylor
18,10/2/2018,West Ham,Watford,2,0,H,1,0,H,G Scott
18,11/2/2018,Huddersfield,Bournemouth,4,1,H,2,1,H,M Oliver
18,11/2/2018,Newcastle,Man United,1,0,H,0,0,D,C Pawson
18,11/2/2018,Southampton,Liverpool,0,2,A,0,2,A,M Atkinson
18,12/2/2018,Chelsea,West Brom,3,0,H,1,0,H,L Mason
18,24/02/18,Bournemouth,Newcastle,2,2,D,0,2,A,R East
18,24/02/18,Brighton,Swansea,4,1,H,1,0,H,M Dean
18,24/02/18,Burnley,Southampton,1,1,D,0,0,D,R Madley
18,24/02/18,Leicester,Stoke,1,1,D,0,1,A,M Oliver
